MSZoning,LotShape,HouseStyle,OverallQual,RoofStyle,ExterQual,Foundation,BsmtQual,BsmtExposure,HeatingQC,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageFinish,GarageCars,SaleCondition,LotArea,Neighborhood,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,GrLivArea,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
3,0,5,6,1,3,2,2,3,0,1,2,1,3,2,7,0,1,1,2,4,15426,5,1997,1997,821,107,928,1764,1997.0,470,276,99,231500
3,3,2,7,1,2,2,2,0,0,1,2,0,3,2,7,0,1,0,2,4,11645,5,2005,2005,1300,434,1734,1734,2005.0,660,160,24,260000
3,3,0,5,1,3,1,3,3,1,0,2,0,4,3,6,0,5,2,2,4,8520,12,1952,1952,507,403,910,1385,2000.0,720,0,0,166000
3,0,2,7,1,2,2,2,1,0,1,2,0,3,2,6,0,1,1,2,4,10335,5,1999,1999,679,811,1490,1501,1999.0,577,144,29,204000
4,3,2,5,1,3,1,3,3,4,1,2,0,6,3,10,0,5,2,2,0,9100,19,1963,1963,1332,396,1728,1728,1963.0,504,0,0,125000
4,3,5,6,1,2,2,2,3,0,0,2,0,3,2,7,0,5,2,2,4,2522,7,2004,2006,0,970,970,1709,2004.0,380,0,40,130000
4,3,2,5,1,3,0,3,3,4,1,1,0,2,3,5,0,5,2,1,4,6120,3,1931,1993,209,506,715,875,1931.0,180,48,0,105000
3,0,5,7,1,2,2,2,3,0,0,2,1,3,2,8,1,3,0,2,4,9505,8,2001,2001,0,884,884,2035,2001.0,434,144,48,222500
4,3,0,5,1,3,0,2,3,2,0,1,0,3,3,7,0,5,2,1,4,6240,3,1936,1950,0,896,896,1344,1936.0,240,200,114,115000
3,3,2,5,1,3,1,3,0,4,0,1,1,3,3,5,0,1,2,2,4,10356,5,1975,1975,716,253,969,969,1975.0,440,0,0,122000
3,3,2,8,3,2,2,0,1,0,1,2,0,2,2,6,1,1,1,3,5,13891,16,2007,2008,1400,310,1710,1710,2007.0,866,0,102,372402
3,0,5,6,1,3,1,3,3,2,0,2,1,4,3,8,1,1,1,2,4,14803,14,1971,1971,416,409,825,1993,1971.0,495,0,66,190000
3,3,2,6,0,3,1,2,1,2,1,1,0,1,3,4,1,1,1,2,4,13500,4,1960,1975,429,93,1602,1252,1960.0,564,409,0,235000
4,3,2,6,1,3,0,3,3,4,0,1,0,4,3,7,0,5,2,1,3,11340,17,1923,1950,0,1200,1200,1200,1923.0,312,0,0,125000
3,3,5,8,1,2,2,0,3,0,0,2,1,4,0,8,1,3,0,3,5,12003,23,2009,2010,0,774,774,1968,2009.0,680,0,75,269500
1,3,5,7,1,2,2,2,3,0,0,2,1,3,2,8,1,1,1,2,4,12552,21,2004,2005,222,769,991,1947,2004.0,678,0,136,254900
3,0,5,7,1,2,2,2,2,0,1,2,1,4,2,9,1,1,1,2,5,19378,8,2005,2006,57,1335,1392,2462,2006.0,576,239,132,320000
3,0,2,6,1,3,2,2,3,4,0,2,0,3,3,6,0,1,2,2,4,11120,24,1984,1984,660,572,1232,1232,1984.0,516,0,0,162500
3,0,5,9,1,2,2,0,0,0,1,2,1,3,0,10,2,3,0,3,4,13688,16,2003,2004,1016,556,1572,2668,2003.0,726,400,0,412500
3,3,2,7,1,2,2,2,2,0,0,2,0,3,2,7,1,1,1,2,5,12182,16,2005,2005,1201,340,1541,1541,2005.0,532,0,70,220000
4,3,2,6,1,3,0,3,2,2,0,2,0,3,2,5,0,5,2,1,4,5400,17,1926,2004,370,779,1149,1616,1926.0,216,0,0,152000
3,0,2,5,3,2,1,3,3,0,1,1,0,2,3,7,3,1,0,1,4,10708,4,1955,1993,379,470,1617,1867,1955.0,303,476,0,190000
3,3,5,8,1,2,2,0,3,0,1,1,1,3,0,8,1,1,0,3,5,10562,16,2007,2007,1288,294,1582,2161,2007.0,789,178,120,325624
3,0,5,7,1,2,2,2,3,0,0,2,1,3,2,7,1,1,0,2,4,8244,8,2004,2004,0,840,840,1720,2004.0,440,100,48,183500
3,0,2,8,3,2,1,2,3,4,0,2,1,2,3,6,1,1,1,2,4,16669,23,1981,1981,0,1686,1686,1707,1981.0,511,574,64,228000
4,0,0,5,1,3,1,3,3,4,0,1,1,2,3,7,0,5,2,2,4,12358,17,1941,1950,360,360,720,1382,1991.0,660,237,0,128500
3,0,2,6,3,3,1,3,1,1,1,1,0,3,3,7,2,1,0,2,4,31770,12,1960,1960,639,441,1080,1656,1960.0,528,210,62,215000
3,0,5,7,1,2,2,2,3,2,1,2,0,2,2,5,1,1,1,2,4,5306,22,1987,1987,495,354,1064,1767,1987.0,504,441,35,239000
3,0,2,6,1,3,1,3,3,4,1,1,1,3,3,6,1,1,2,2,4,10197,12,1961,1961,288,700,1362,1362,1961.0,504,0,20,163000
3,0,2,6,1,3,1,2,3,4,1,2,0,3,3,7,1,1,0,2,4,12416,23,1986,1986,1398,0,1606,1651,1986.0,616,192,0,184000
3,3,2,6,1,3,1,3,0,4,1,2,0,4,2,7,1,1,2,2,4,12615,7,1950,2001,477,725,1202,2158,1950.0,576,0,29,243000
3,0,5,6,1,2,2,2,3,4,0,2,1,4,3,8,1,1,2,2,4,10029,4,1988,1989,831,320,1151,2060,1988.0,521,0,228,211000
3,3,0,5,1,2,1,3,3,0,1,2,0,4,2,8,1,1,2,2,4,13650,19,1958,1958,57,554,1052,1920,1958.0,451,0,0,172500
3,0,2,9,3,0,2,0,3,0,1,2,0,1,0,9,1,1,0,3,5,17423,22,2008,2009,1904,312,2216,2234,2009.0,1166,0,60,501837
4,3,2,5,1,2,1,3,3,4,0,1,0,2,3,5,0,5,2,2,4,8520,17,1923,2006,0,968,968,968,1935.0,480,0,0,100000
1,3,5,6,1,2,2,2,3,0,0,2,1,3,2,5,1,5,2,2,4,2117,21,2000,2000,436,320,756,1525,2000.0,440,0,0,177000
3,3,5,7,1,3,0,1,3,2,0,1,1,4,3,9,1,5,2,1,4,7588,6,1920,1950,352,441,793,1802,1920.0,216,0,0,200100
4,3,0,7,1,3,2,2,3,0,0,2,1,3,2,6,0,5,2,2,4,11426,17,2003,2003,0,1362,1362,2082,2003.0,484,280,238,200000
3,0,0,5,1,3,2,1,3,2,0,1,0,3,3,5,0,1,2,2,4,7438,3,1908,1991,0,504,504,1252,1986.0,576,104,0,127000
4,1,3,10,1,2,0,3,2,0,0,2,1,4,0,12,2,5,2,3,4,22950,17,1892,1993,0,1107,1107,3608,1993.0,840,0,260,475000
3,0,7,7,1,3,2,2,0,0,1,2,0,3,2,6,0,1,2,2,4,9947,11,1990,1991,611,577,1188,1217,1990.0,497,168,27,173000
3,3,0,5,1,3,1,1,3,0,0,2,1,3,3,8,0,5,2,1,4,10410,17,1916,1987,0,660,660,1656,1916.0,180,0,0,135000
3,3,6,5,1,3,1,2,0,4,2,0,2,2,3,6,2,5,2,2,2,7018,20,1979,1979,1086,0,1086,1224,1979.0,528,120,0,153337
3,3,2,8,1,2,2,0,0,0,1,1,1,0,0,5,1,1,0,2,4,4923,22,2001,2002,1153,440,1593,1593,2001.0,682,0,120,286000
3,3,5,8,3,2,1,2,3,4,0,2,1,3,2,10,2,5,2,2,4,10570,6,1932,1994,297,556,853,2727,1932.0,440,0,74,315000
3,0,5,7,1,3,1,3,3,2,1,1,1,4,2,7,0,1,0,2,4,7472,12,1972,2004,626,99,725,1479,1972.0,484,0,32,184000
3,0,2,7,1,2,2,2,0,0,1,2,0,3,2,6,0,1,0,2,4,9017,5,1999,1999,560,871,1431,1431,1999.0,666,0,35,192000
4,3,5,7,1,2,2,2,3,0,0,2,0,3,2,7,0,5,2,2,4,2522,7,2004,2004,0,970,970,1709,2004.0,380,0,40,130000
